住む,to live すむ
所,place ところ
住所,address じゅうしょ
台所,kitchen だいどころ
場所,place ばしょ
東京,Tokyo
東京都,metropolis of Tokyo とうきょうと
都合がいい,convenient つごうがいい
京豆府,Kyoto Prefecture きょうとふ
山口県,Yamaguchi Prefecture やまぐちけん
京都市,Kyoto City きょうとし
北区,Kita Ward きたく
町,town まち
村,village むら
明るい,bright; cheerful あかるい
明日,tomorrow あす・あした
説明,explanation せつめい
暗い,dark くらい
遠い,far とおい
近い,near ちかい
近所,neighborhood きんじょ
強い,strong つよい
勉強する,to study べんきょうする
弱い,weak よわい
重い,heavy おもい
太い,fat ふとい
軽い,light かるい
細い,slender ほそい
細かい,fine こまかい
特に,especially とくに
特別な,special とくべつな
特急,limited express とっきゅう
別れる,to separate わかれる
有る,to exist; to be ある
有名な,famous ゆうめいな
便利な,convenient べんりな
利用する,to use りようする
不便な,inconvenient ふべんな
切る,to cut きる
切手,postage stamp きって
大切な,important たいせつな
親切な,kind しんせつな
元気な,fine; active げんきな
好きな,favorite; liked すきな
急に,suddenly きゅうに
急ぐ,to hurry いそぐ
低い,low ひくい
広い,spacious ひろい
短い,short みじかい
良い,good よい
悪い,bad わるい
正しい,correct; right ただしい
お正月,New Year's おしょうがつ
変わる,to change かわる
変な,strange へんな
大変な,hard; difficult たいへんな
赤い,red あかい
赤ちゃん,baby あかちゃん
青い,blue あおい
青空,blue sky あおぞら
黒い,black くろい
映す,to reflect うつす
映画,movie えいが
映画館,movie theater えいがかん
計画,plan けいかく
音,sound おと
楽しい,enjoyable 楽しい
音楽,music おんがく
歌う,to sing うたう
歌手,singer かしゅ
写真,a photo しゃしん
写す,to copy うつす
真ん中,midmost まんなか
旅行する,to take a trip りょこうする
旅館,Japanese style inn りょかん
世話をする,to take care of せわをする
世界,world 世界
仕事,job しごと
火事,fire かじ
用事,business to attend to ようじ
大事な,important だいじな
銀行,bank ぎんこう
会社員,employee かいしゃいん
銀行員,bank clerk ぎんこういん
店員,store clerk てんいん
医者,doctor いしゃ
者,person もの
働く,to work はたらく
本屋,bookstore ほんや
屋上,roof; housetop おくじょう
生む,to give birth うむ
産業,industry さんぎょう
工業,manufacture こうぎょう
林,woods; grove はやし
森,forest もり
地図,map ちず
地下鉄,subway ちかてつ
池,pond いけ
電池,battery でんち
海,the sea; the ocean うみ
海外,overseas かいがい
西洋,the West せいよう
東洋,the East とうよう
雪,snow ゆき
光,light ひかり
光る,to shine ひかる
台,table だい
台所,kitchen だいどころ
風,wind かぜ
台風,typhoon たいふう
季節,season きせつ
春,spring はる
夏,summer なつ
夏休み,summer holidays なつやすみ
秋,autumn あき
冬,winter ふゆ
冬休み,winter holidays ふゆやすみ
暑い,hot あつい
寒い,cold さむい
暖かい,warm あたたかい
涼しい,cool すずしい
体,body からだ
頭,head あたま
顔,face かお
首,neck くび
心,heart こころ
安心する,to be relieved あんしんする
声,voice こえ
病気,illness びょうき
病院,hospital びょういん
薬,medicine くすり
科学,science かがく
教科書,textbook きょうかしょ
内,inside; interior うち
朝,morning あさ
今朝,this morning けさ
朝日,the morning sun あさひ
昼,noon ひる
昼休み,lunch break ひるやすみ
夜,night よる
今夜,tonight こんや
夕日,sunset ゆうひ
夕食,supper ゆうしょく
読み方,how to read よみかた
夕方,evening ゆうがた
あの方,that person あのかた
今晩,tonight こんばん
毎晩,every night まいばん
晩ご飯,dinner ばんごはん
時計,watch; clock とけい
計画,plan けいかく
以上,more than いじょう
以下,less than いか
以外,except いがい
一度,once いちど
今度,next time こんど
２５度,25 degrees ２５ど
止まる,to stop とまる
中止する,to call off ちゅうしする
歩く,to walk あるく
走る,to run はしる
起きる,to get up おきる
持つ,to hold もつ
気持ち,feeling きもち
待つ,to wait まつ
借りる,to borrow かりる
貸す,to lend かす
始める,to begin はじめる
終わる,to end おわる
家,house いえ
画家,painter がか
家内,wife かない
家族,family かぞく
私,I わたし
自分,oneself じぶん
自動ドア,automatic door じどうドア
親,parent おや
母親,mother ははおや
親切な,kind しんせつな
両親,parents りょうしん
両方,both りょうほう
両手,both hands りょうて
兄,one's older brother あに
お兄さん,older brother おにいさん
弟,one's younger brother おとうと
兄弟,brothers きょうだい
姉,one's elder sister あね
お姉さん,elder sister おねえさん
妹,one's younger sister いもうと
姉妹,sisters しまい
生活,living せいかつ
回る,to turn まわる
一回,once いっかい
前回,the last time ぜんかい
主人,husband しゅじん
色,color いろ
茶色,brown ちゃいろ
形,shape かたち
人形,doll にんぎょう
品物,goods しなもの
食料品,food しょくりょうひん
国民,citizens of the state こくみん
市民,citizen しみん
服,clothes ふく
洋服,Western clothing ようふく
犬,dog いぬ
子犬,puppy こいぬ
同じ,same おなじ
米,rice こめ
料金,fee; charge りょうきん
料理,cooking りょうり
地理,geography ちり
肉,meat にく
牛肉,beef ぎゅうにく
肉や,butcher にくや
鳥,bird とり
小鳥,little bird ことり
野菜,vegetable やさい
茶,tea ちゃ
ご飯,cooked rice; meal ごはん
晩御飯,supper ばんごはん
夕飯,dinner ゆうはん
味,taste あじ
意味,meaning いみ
代わる,take somebody's place かわる
代わりに,instead かわりに
使う,to use つかう
大使館,embassy たいしかん
使用中,be engaged on something しようちゅう
作る,to make つくる
作文,essay さくぶん
変化する,to change; transform へんかする
信じる,to believe しんじる
信号,signal しんごう
進む,to proceed すすむ
送る,to send おくる
返す,to return (something) かえす
洗う,to wash あらう
注意する,to pay attention ちゅういする
場所,place ばしょ
工場,factory こうじょう
建てる,to build たてる
建物,building たてもの
物,thing もの
買い物,shopping かいもの
動物,animal どうぶつ
病院,hospital びょういん
入院する,to be hospitalized にゅういんする
大学院,grad school だいがくいん
映画館,movie theater えいがかん
食堂,dining room しょくどう
部屋,room へや
教室,classroom きょうしつ
工事,construction こうじ
工業,manufacturing こうぎょう
図,figure ず
地図,map ちず
図書館,library としょかん
通る,to go through とおる
通う,to commute かよう
通学,commute to school つうがく
大通り,main street おおどおり
動く,to move うごく
運動,exercise うんどう
自動車,car じどうしゃ
乗る,to get on のる
タクシー乗り場,taxi stand タクシのりば
降りる,to get off おりる
雨が降る,to rain あめがふる
運ぶ,to transport はこぶ
運転する,to drive うんてんする
自転車,bike じてんしゃ
帰る,to return (home) かえる
帰国する,to return to one's own country きこくする
出発する,to leave しゅっぱつする
着る,to put on clothes きる
着く,to arrive つく
着物,clothes; kimono きもの
漢字,Chinese character かんじ
字,letter; character じ
文,sentence ぶん
文学,literature ぶんがく
文字,character; alphabet もじ
注文する,to order ちゅうもんする
教える,to teach おしえる
教室,classroom きょうしつ
教科書,textbook きょうかしょ
勉強する,to study べんきょうする
習う,to learn ならう
英語,English えいご
考える,to think; to ponder かんがえる
研究する,to do research けんきゅうする
研究者,researcher けんきゅうしゃ
研究室,laboratory けんきょうしつ
問,question とい
質問,question しつもん
質問する,to ask a question しつもんする
題名,title だいめい
試合,game しあい
説明,explanation せつめい
試験,examination しけん
間に合う,to be in time まにあう
場合,case ばあい
都合がいい,convenient つごうがいい
答える,to answer こたえる
答え,answer こたえ
利用する,to use りょうする
紙,paper かみ
手紙,letter てがみ
コピー用紙,photocopying paper コピーようし
新聞紙,piece of newspaper しんぶんし
意味,meaning いみ
注意する,pay attention ちゅういする
用意する,to prepare よういする
意見,opinion いけん
問題,question もんだい
引く,to pull ひく
引き出し,withdraw money ひきだし
開ける,to open あける
開く,to open ひらく
閉める,to close しめる
去年,last year きょねん
死ぬ,to die しぬ
集める,to collect あつめる
集まる,to gather あつまる
知る,to know しる
売る,to sell うる
説明する,to explain せつめいする
小説,novel しょうせつ
思う,to think おもう
思い出す,to recall おもいだす